Week,Count,sedentary
1,32533,1
3,4,1
4,24943,1
5,48152,1
6,35990,1
7,49512,0
8,50478,0
9,64540,0
10,61896,0
11,90738,0
12,77896,0
13,101373,0
14,89136,0
15,75666,0
16,131266,0
17,42361,1
18,50804,0
19,59493,0
20,55832,0
21,68574,0
22,82848,0
23,129374,0
24,118734,0
25,52928,0
26,50433,0
27,72322,0
28,47038,1
29,51515,0
30,53350,0
31,34241,1
32,66445,0
33,70121,0
34,33180,1
35,8795,1
