week,Count,sedentary
1,127289,0
2,137307,0
3,134580,0
4,121104,0
5,96668,0
6,107738,0
7,90998,0
8,77026,1
9,67415,1
10,82315,1
11,120349,0
12,99082,0
13,92623,0
14,85668,0
15,92950,0
16,69616,1
17,117220,0
18,110720,0
19,62712,1
20,65807,1
21,53941,1
22,115544,0
23,149851,0
24,116797,0
25,92001,0
26,98782,0
27,84381,0
28,122183,0
29,89450,0
30,83902,1
31,94187,0
32,99441,0
33,130916,0
34,94853,0
35,114732,0
36,122983,0
37,96209,0
38,88425,0
39,41551,1
