Week,Steps (count),Sedentary
1,51119,0
2,48034,1
3,43865,1
4,52397,0
5,50534,0
6,73613,0
7,51934,0
8,65812,0
9,24575,1
10,54881,0
11,70807,0
12,75102,0
13,64158,0
14,31202,1
15,68882,0
16,82425,0
17,74663,0
18,72411,0
19,83371,0
20,72488,0
21,46161,1
22,46354,1
23,40616,1
24,63484,0
25,58328,0
26,54285,0
27,64436,0
28,41494,1
29,58219,0
30,76015,0
31,73545,0
32,58353,0
33,64107,0
34,61963,0
35,72736,0
36,100094,0
