,Start,Steps (count)
0,2022-01-02,14970
1,2022-01-09,51107
2,2022-01-16,48022
3,2022-01-23,43848
4,2022-01-30,52379
5,2022-02-06,50516
6,2022-02-13,73593
7,2022-02-20,51914
8,2022-02-27,65792
9,2022-03-06,24555
10,2022-03-13,54856
11,2022-03-20,70785
12,2022-03-27,75081
13,2022-04-03,64138
14,2022-04-10,31189
15,2022-04-17,68862
16,2022-04-24,82401
17,2022-05-01,74634
18,2022-05-08,72378
19,2022-05-15,83342
20,2022-05-22,72463
21,2022-05-29,46141
22,2022-06-05,46329
23,2022-06-12,40591
24,2022-06-19,63454
25,2022-06-26,58305
26,2022-07-03,54264
27,2022-07-10,64406
28,2022-07-17,41472
29,2022-07-24,58193
30,2022-07-31,75984
31,2022-08-07,73518
32,2022-08-14,58335
33,2022-08-21,64080
34,2022-08-28,61943
35,2022-09-04,72707
36,2022-09-11,100059
37,2022-09-18,228
