,Start,Steps (count)
0,2022-01-02,14786
1,2022-01-09,47985
2,2022-01-16,45746
3,2022-01-23,64579
4,2022-01-30,52103
5,2022-02-06,52749
6,2022-02-13,57162
7,2022-02-20,66562
8,2022-02-27,47407
9,2022-03-06,51271
10,2022-03-13,53660
11,2022-03-20,56852
12,2022-03-27,67013
13,2022-04-03,54897
14,2022-04-10,59260
15,2022-04-17,61939
16,2022-04-24,57205
17,2022-05-01,27293
18,2022-05-08,52935
19,2022-05-15,55342
20,2022-05-22,49838
21,2022-05-29,57893
22,2022-06-05,52670
23,2022-06-12,52060
24,2022-06-19,46394
25,2022-06-26,44965
26,2022-07-03,59163
27,2022-07-10,42251
28,2022-07-17,54591
29,2022-07-24,52873
30,2022-07-31,61318
31,2022-08-07,62294
32,2022-08-14,56890
33,2022-08-21,59794
34,2022-08-28,54676
35,2022-09-04,50054
36,2022-09-11,65167
37,2022-09-18,13078
