,Start,Steps (count)
0,2021-10-10,41
1,2021-10-17,0
2,2021-10-24,0
3,2021-10-31,0
4,2021-11-07,0
5,2021-11-14,0
6,2021-11-21,0
7,2021-11-28,0
8,2021-12-05,0
9,2021-12-12,0
10,2021-12-19,0
11,2021-12-26,0
12,2022-01-02,45692
13,2022-01-09,118019
14,2022-01-16,115127
15,2022-01-23,119082
16,2022-01-30,100066
17,2022-02-06,91408
18,2022-02-13,76244
19,2022-02-20,99547
20,2022-02-27,82305
21,2022-03-06,63805
22,2022-03-13,92672
23,2022-03-20,124428
24,2022-03-27,96908
25,2022-04-03,101214
26,2022-04-10,87473
27,2022-04-17,91694
28,2022-04-24,76408
29,2022-05-01,106251
30,2022-05-08,99062
31,2022-05-15,57473
32,2022-05-22,99013
33,2022-05-29,59514
34,2022-06-05,101340
35,2022-06-12,136940
36,2022-06-19,96066
37,2022-06-26,86026
38,2022-07-03,88203
39,2022-07-10,72366
40,2022-07-17,105891
41,2022-07-24,72369
42,2022-07-31,96193
43,2022-08-07,88347
44,2022-08-14,103128
45,2022-08-21,92510
46,2022-08-28,116310
47,2022-09-04,63897
