Start,Steps (count)
2022/1/2,8795
2022/1/9,32533
2022/1/16,347
2022/1/23,0
2022/1/30,4
2022/2/6,24943
2022/2/13,48152
2022/2/20,35990
2022/2/27,49512
2022/3/6,50478
2022/3/13,64540
2022/3/20,61896
2022/3/27,90738
2022/4/3,77896
2022/4/10,101373
2022/4/17,89136
2022/4/24,75666
2022/5/1,131266
2022/5/8,42361
2022/5/15,50804
2022/5/22,59493
2022/5/29,55832
2022/6/5,68574
2022/6/12,82848
2022/6/19,129374
2022/6/26,118734
2022/7/3,52928
2022/7/10,50433
2022/7/17,72322
2022/7/24,47038
2022/7/31,51515
2022/8/7,53350
2022/8/14,34241
2022/8/21,66445
2022/8/28,70121
2022/9/4,33180
