Week,Steps (count),Sedentary
1,48008,1
2,45772,1
3,64604,1
4,52126,1
5,52773,1
6,57186,1
7,66587,1
8,47431,1
9,51289,1
10,53691,1
11,56876,1
12,67034,1
13,54921,1
14,59287,1
15,61964,1
16,57233,1
17,27315,1
18,52958,1
19,55363,1
20,49861,1
21,57915,1
22,52693,1
23,52088,1
24,46412,1
25,44977,1
26,59186,1
27,42272,1
28,54613,1
29,52899,1
30,61342,1
31,62321,1
32,56904,1
33,59816,1
34,54708,1
35,50079,1
36,65206,1
37,13084,1
52,14792,1
